HS6 ID,Trade Value,Trade Value Relatedness,Trade Value RCA,pci,participacao_brasil,dcr_bloco,dcr,imp_total,exp_brasil,imp_brasil
852852,1836556.0,0.0846351009,0.0042842173,0.1403647892,0.001,0.545383615644466,0.3994172767076485,29838232449.0,1836556.0,135382672.0
852859,4240725.0,0.0902038922,0.0264518853,0.7515255676,0.002,0.7958102223924584,0.696607155061809,11158964439.0,4240725.0,88302900.0
852862,381810.0,0.0896278015,0.0107175279,0.7397888048,0.0,0.8884074057659184,1.1174289621636913,2479665448.0,381810.0,31475755.000000004
852869,52640.0,0.0822491374,0.0019240345,0.0419006426,0.0,2.3497625942146407,1.2138461225438808,1904335370.0,52640.0,26258518.0
852871,26189160.0,0.0973750032,0.3315889024,0.1915910577,0.081,4.032841019865188,0.6276054810904235,5497458949.0,26189160.0,39193302.99999999
852872,649171.0,0.0964215723,0.0009128685,-0.2393750252,0.0,2.446626771757955,0.3730636439731392,49498415604.0,649171.0,209767097.00000003
852910,4705277.0,0.0981650051,0.0587386935,0.4075995984,0.02,1.2077151978430372,1.3532191377144198,5575724751.0,4705277.0,85710218.0
852990,6867628.0,0.0875829122,0.0102643711,-0.1741891892,0.001,1.0318302654843459,2.0486160493488015,46570921336.0,6867628.0,1083773538.0
853010,2614417.0,0.0968117368,0.2558474859,0.8500481389,0.078,2.9239158070859843,0.9112745116879275,711269389.0,2614417.0,7362859.0
853080,1896971.0,0.106019835,0.1321698903,0.4003482763,0.022,1.5999298007831402,0.2960806433737342,999007101.0,1896971.0,3360019.0
853090,434890.0,0.1000043325,0.0339568847,1.0882607669,0.032,0.6322394434138932,0.36806708220620427,891439747.0,434890.0,3727195.0
853110,2875190.0,0.1015708974,0.0404430202,0.5524173519,0.02,1.1394449915497027,0.5257476872235485,4948383870.0,2875190.0,29553158.0
853120,7159955.0,0.0979219707,0.0820568007,0.6254274616,0.093,0.6097283010836869,1.3373103808671618,6073459300.0,7159955.0,92263831.0
853180,1913826.0,0.0960735327,0.02721719,0.483240692,0.024,0.5069272318549727,0.4255783568552087,4894401344.0,1913826.0,23661499.0
853190,4313506.0,0.1003593055,0.070724473,0.6421084747,0.002,1.1159114189810286,0.642876966045855,4245228779.0,4313506.0,31002171.0
853210,12066205.0,0.1187161616,1.2690464598,0.4302091596,0.306,1.0422230478897476,0.9440169356446387,661810405.0,12066205.0,7097028.0
853221,301923.0,0.0889735475,0.010610889,0.5849838436,0.009,0.0230952620467068,0.4694549764459154,1980545566.0,301923.0,10561897.0
853222,49757443.0,0.0860605979,0.5690147479,0.8517925007,0.105,0.04196577417743499,0.7231725487219399,6086602565.0,49757443.0,50001153.0
853223,207127.0,0.0857169013,0.0239757055,0.4555031944,0.058,0.12975152581363522,0.7582053537184956,601320117.0,207127.0,5179117.0
853224,1365148.0,0.0735180948,0.0049734193,0.8877169573,0.006,0.006790143947668685,0.7615015450921474,19105793217.0,1365148.0,165271894.0
853225,34551011.0,0.1221139399,1.1358583921,0.5091617669,0.083,0.3089776112257761,0.7051581718511116,2117273598.0,34551011.0,16960031.999999996
853229,2825706.0,0.098611092,0.1178199224,0.1500046775,0.023,0.21219653442148337,0.561067319943675,1669354817.0,2825706.0,10639636.0
853290,975079.0,0.0877567719,0.0628516254,0.7654309559,0.013,0.13208554631534783,0.42594543080346203,1079850672.0,975079.0,5224934.0
853310,110775.0,0.0834056823,0.0143555004,0.856680894,0.003,0.327790636290462,0.32969444246281376,537110739.0,110775.0,2011586.0
853321,605558.0,0.094730822,0.0054662155,0.5468251505,0.026,0.06743860449422631,0.6004682857618724,7710977010.0,605558.0,52597200.00000001
853329,3022578.0,0.095098798,0.1582657608,0.6699798654,0.019,0.5142825952618043,0.6805194755636392,1329324351.0,3022578.0,10276250.0
853340,5446948.0,0.0929472189,0.0829374427,0.1272001594,0.224,0.1847293577287061,0.8687723481280388,4571334514.0,5446948.0,45114083.0
853400,4886291.0,0.0779450065,0.0056730262,0.0969675877,0.012,0.0444797247846247,0.625660478070973,59952176008.0,4886291.0,426095370.0
853510,12278573.0,0.1387883564,1.656703036,-0.2229089257,0.259,2.471009769998152,1.0555487070738445,515874002.0,12278573.000000002,6185646.0
853521,7520122.0,0.1042495428,0.442469909,0.619261954,0.094,1.7729982788173873,2.9564384849103593,1182991321.0,7520122.0,39729541.0
853529,5769103.0,0.0916008192,0.5313017314,1.0918064329,0.146,3.37530780847517,1.3962752675956,755801022.0,5769103.0,11987859.999999998
853530,7693728.0,0.1058622061,0.2403144747,0.5662909624,0.063,2.786766270634761,1.342840412888604,2228421354.0,7693728.0,33992637.0
853540,5743845.0,0.1021385765,0.6359006333,0.8244786699,0.188,2.6961818268330813,1.2163183602842371,628715066.0,5743845.0,8686889.0
853590,10908211.0,0.105114554,0.1965986767,1.1245218185,0.12,1.210114266039151,1.5499451491223866,3862009635.0,10908211.0,67997481.0
853610,17545255.000000004,0.0914629629,0.3592451923,0.7326626746,0.057,0.4297818128407212,0.6454664035475881,3399453720.0,17545255.000000004,24925617.0
853620,50293948.0,0.1057802224,0.3381999808,0.0368165094,0.027,0.925917203992315,1.2907143768645228,10351006066.0,50293948.0,151766477.0
853630,3850113.0,0.1036567723,0.0512119854,0.2515738286,0.036,0.7537864759763244,0.6006813028783894,5232898078.0,3850113.0,35706685.0
853641,27709351.0,0.0991909061,0.3696238602,0.2702904321,0.307,0.5251620507795324,1.1801510927066725,5218032370.0,27709351.0,69953190.0
853649,15203385.0,0.1026245855,0.183781181,0.4237116241,0.091,0.8736986967977763,1.3773066448663,5758106173.0,15203385.0,90089350.0
853650,50225004.0,0.1051267162,0.1520294344,-0.0870172125,0.108,0.7594995847269266,1.3195139629891732,22994962918.0,50225004.0,344675049.0
853661,933112.0,0.0879964718,0.1290165016,-0.2606301373,0.025,2.749237514281149,1.972498338960505,503418216.0,933112.0,11279990.0
853669,6720059.0,0.094678176,0.0191798483,0.9064148756,0.023,0.41122784857874706,0.4335999697347497,24387558963.0,6720059.0,120121492.0
853670,2186977.0,0.0961345717,0.0614548889,-0.2449517585,0.023,2.260956638185476,1.6025005134450998,2477012459.0,2186977.0,45090962.99999999
853690,77120374.0,0.0959615527,0.1248278675,0.5724343341,0.074,0.39627975489837464,0.8593006054940333,43002924249.0,77120373.99999999,419765024.0
853710,79225415.0,0.0985856417,0.0748505276,0.3121518817,0.08,0.485590456287889,0.9787264461604136,73673290949.0,79225415.0,819095492.0
853720,23764556.0,0.1044061478,0.2756746129,-0.0139658956,0.075,2.6544192916686997,1.1859033572360604,6000305250.0,23764556.0,80832458.0
853810,9556303.0,0.1049340571,0.1423889103,0.3471479716,0.033,1.4497763364683764,0.6575102108852535,4671476391.0,9556303.0,34891513.0
853890,47212768.0,0.0983814449,0.0875464509,0.6384251056,0.062,0.4481808416869411,0.7469431391215885,37537153112.0,47212768.0,318501892.0
853921,677009.0,0.0850159647,0.0360885732,1.0240198481,0.011,1.885329601794357,2.4914555083257692,1305765359.0,677009.0,36955699.0
853929,707928.0,0.0944720736,0.0645705143,0.4681828169,0.014,2.253880186486367,2.222521675596026,763124255.0,707928.0,19266570.0
853931,166277.0,0.0905345208,0.014007154,0.4463401345,0.002,0.4565488471182059,0.6526931059228451,826271341.0,166277.0,6126251.999999999
853941,83700.0,0.0928712456,0.009144494,1.0676361038,0.006,0.5676052174216162,0.4615252514835245,637097925.0,83700.00000000001,3340141.0
853949,233927.0,0.0903279404,0.0142729731,0.9966404704,0.011,0.8465991679536252,0.45518331520260763,1140791606.0,233927.0,5898693.0
