,ano,cnae_2,Engenheiros,Pesquisadores,Profissionais Científicos,Total Técnicos,Total Contratados,Potec
172,2006,22234.0,54.0,9.0,75.0,138.0,8940,0.015436241610738255
173,2006,22293.0,572.0,20.0,330.0,922.0,177329,0.005199375172701588
174,2006,23117.0,53.0,0.0,25.0,78.0,8407,0.009277982633519685
175,2006,23125.0,58.0,1.0,59.0,118.0,7606,0.015514067841178017
176,2006,23192.0,76.0,0.0,61.0,137.0,15593,0.008785993715128584
177,2006,23206.0,172.0,0.0,70.0,242.0,11569,0.020917970438240126
178,2006,23303.0,507.0,2.0,44.0,553.0,73515,0.007522274365775692
179,2006,23419.0,156.0,28.0,58.0,242.0,12972,0.018655565834104226
180,2006,23427.0,48.0,0.0,56.0,104.0,103728,0.0010026222427888323
181,2006,23494.0,66.0,3.0,49.0,118.0,28090,0.004200783196867212
182,2006,23915.0,25.0,0.0,19.0,44.0,32784,0.0013421181063933627
183,2006,23923.0,38.0,1.0,13.0,52.0,7508,0.006925945657964837
184,2006,23991.0,101.0,2.0,67.0,170.0,22478,0.007562950440430643
185,2006,24113.0,94.0,0.0,18.0,112.0,17150,0.006530612244897959
186,2006,24121.0,131.0,5.0,47.0,183.0,11361,0.016107736994982837
187,2006,24211.0,435.0,1.0,56.0,492.0,5848,0.08413132694938441
188,2006,24229.0,896.0,173.0,432.0,1501.0,29417,0.05102491756467349
189,2006,24237.0,580.0,43.0,230.0,853.0,24773,0.03443264844790699
190,2006,24245.0,90.0,3.0,38.0,131.0,13332,0.009825982598259826
191,2006,24318.0,80.0,0.0,50.0,130.0,8968,0.014495985727029438
192,2006,24393.0,22.0,1.0,10.0,33.0,3513,0.009393680614859094
193,2006,24415.0,713.0,4.0,174.0,891.0,25326,0.035181236673773986
194,2006,24423.0,11.0,0.0,31.0,42.0,1227,0.034229828850855744
195,2006,24431.0,10.0,0.0,24.0,34.0,3150,0.010793650793650795
196,2006,24491.0,99.0,0.0,42.0,141.0,16097,0.0087593961607753
197,2006,24512.0,300.0,8.0,67.0,375.0,52858,0.0070944795489802865
198,2006,24521.0,102.0,1.0,41.0,144.0,18045,0.00798004987531172
199,2006,25110.0,601.0,5.0,48.0,654.0,41783,0.015652298781801213
200,2006,25128.0,92.0,1.0,12.0,105.0,37420,0.0028059861036878677
201,2006,25136.0,109.0,0.0,9.0,118.0,12098,0.009753678293932882
202,2006,25217.0,89.0,0.0,18.0,107.0,8877,0.012053621719049229
203,2006,25225.0,141.0,1.0,9.0,151.0,3063,0.04929807378387202
204,2006,25314.0,51.0,0.0,7.0,58.0,7268,0.007980187121629059
205,2006,25322.0,179.0,11.0,103.0,293.0,47128,0.00621711084705483
206,2006,25390.0,158.0,3.0,81.0,242.0,45925,0.005269461077844311
207,2006,25411.0,43.0,0.0,5.0,48.0,7480,0.006417112299465241
208,2006,25420.0,37.0,0.0,17.0,54.0,24367,0.0022161119546928224
209,2006,25438.0,60.0,0.0,53.0,113.0,13963,0.008092816729929099
210,2006,25501.0,74.0,0.0,35.0,109.0,6169,0.01766899011184957
211,2006,25918.0,83.0,1.0,69.0,153.0,18587,0.00823155969225803
212,2006,25926.0,88.0,13.0,112.0,213.0,27648,0.007703993055555556
213,2006,25934.0,13.0,0.0,20.0,33.0,15331,0.002152501467614637
214,2006,25993.0,430.0,13.0,203.0,646.0,93761,0.006889858256631222
215,2006,26108.0,738.0,32.0,206.0,976.0,37290,0.02617323679270582
216,2006,26213.0,221.0,2.0,541.0,764.0,12924,0.05911482513153822
217,2006,26221.0,285.0,2.0,318.0,605.0,20182,0.029977207412545833
218,2006,26311.0,254.0,1.0,150.0,405.0,8011,0.05055548620646611
219,2006,26329.0,832.0,72.0,433.0,1337.0,17372,0.07696292885102464
220,2006,26400.0,255.0,5.0,103.0,363.0,18241,0.019900224768378928
221,2006,26515.0,732.0,16.0,241.0,989.0,17029,0.0580773973809384
222,2006,26523.0,7.0,0.0,15.0,22.0,1959,0.011230219499744768
223,2006,26604.0,111.0,3.0,65.0,179.0,4883,0.03665779234077411
224,2006,26701.0,17.0,0.0,9.0,26.0,2554,0.010180109631949883
225,2006,27104.0,661.0,30.0,145.0,836.0,28204,0.029641185647425898
226,2006,27210.0,40.0,6.0,11.0,57.0,1832,0.03111353711790393
227,2006,27228.0,92.0,0.0,23.0,115.0,6476,0.01775787523162446
228,2006,27317.0,730.0,14.0,314.0,1058.0,16728,0.06324725011956002
229,2006,27325.0,278.0,2.0,76.0,356.0,18351,0.01939948776633426
230,2006,27333.0,217.0,13.0,63.0,293.0,21382,0.013703114769432232
231,2006,27406.0,119.0,0.0,51.0,170.0,12115,0.014032191498142799
232,2006,27511.0,509.0,0.0,87.0,596.0,23968,0.02486648865153538
233,2006,27597.0,85.0,0.0,71.0,156.0,14675,0.010630323679727428
234,2006,27902.0,547.0,12.0,213.0,772.0,27439,0.028135136120120995
235,2006,28119.0,318.0,5.0,20.0,343.0,5089,0.06740027510316368
236,2006,28127.0,118.0,0.0,25.0,143.0,7054,0.020272185993762404
237,2006,28135.0,107.0,10.0,41.0,158.0,13768,0.01147588611272516
238,2006,28143.0,250.0,47.0,53.0,350.0,12325,0.028397565922920892
239,2006,28151.0,180.0,7.0,38.0,225.0,8507,0.02644880686493476
240,2006,28216.0,52.0,1.0,6.0,59.0,3446,0.017121300058038306
241,2006,28224.0,385.0,2.0,75.0,462.0,18270,0.02528735632183908
242,2006,28232.0,200.0,3.0,21.0,224.0,13710,0.016338439095550692
243,2006,28241.0,82.0,1.0,18.0,101.0,2464,0.040990259740259744
