hs_product_code,hs_product_name_short_en,export_value,import_value,pci,density,cog,rca,rcd,import_value_total,import_value_standarized,import_value_total_standarized,export_value_standarized,eci_standarized,pci_standarized,rca_standarized,rcd_standarized,coi_standarized,cog_standarized,density_standarized,pgi,pei,pei_standarized,pgi_standirized,pei_inverted
8439,Machinery for making paper,20289321.0,190434091.0,3.340976101853532,0.108046156002465,0.9890597883464306,0.2613122866259328,3.2144023995014788,5093736814.0,0.0155396430555667,0.0062316565286318,0.0003968345124077,0.0,0.8636799847377425,0.0062085171542794,0.1054665992451822,0.0,0.8500091865972061,0.1000327333299144,0.2888357997877141,2506.635947495616,0.0207408174184652,0.7111642002122859,0.9792591825815348
8440,Bookbinding machinery,708361.0,4525988.0,2.544250607201709,0.1135485930948798,0.8725207694191497,0.0572344280131491,0.479268992394535,811944070.0,0.000369325878704,0.0009840989884499,1.3854682078501328e-05,0.0,0.7831810447997181,0.0013598324545821,0.0157251222682499,0.0,0.7820518526504163,0.1138137683243137,0.34017535754142614,1468.3789404806885,0.0108984176800484,0.6598246424585739,0.9891015823199516
8441,Other machinery for making paper,15050019.0,93183689.0,2.3405491385080093,0.1258609620773829,0.8362239655255606,0.1232059099953155,0.999764292278236,8013722994.0,0.0076038972752044,0.0098102499852061,0.0002943601193747,0.0,0.7625996119175842,0.0029272485254759,0.0328029060610783,0.0,0.7608861173790655,0.1446505021137345,0.33494107333241274,5982.830852480422,0.0536942187365807,0.6650589266675873,0.9463057812634192
8442,Machinery for making printing components,10032604.0,12423715.0,2.328725774239189,0.1156749849771146,0.8561373796113406,0.5313846550258773,0.8624025818056723,1238606858.0,0.0010137895768047,0.0015069962102787,0.000196225566963,0.0,0.7614050118997234,0.0126251650423604,0.0282959804588919,0.0,0.7724982155716243,0.119139386854561,0.3265037455066927,4334.171534674873,0.0380653677597296,0.6734962544933073,0.9619346322402704
8443,Printers and copiers,36549802.0,504045835.0,3.1159040882601867,0.0944455337611607,0.923994115983421,0.0480964452837907,0.8692830487437907,49854098545.0,0.0411307256931485,0.061087785198548,0.0007148698004861,0.0,0.8409393311178923,0.001142723174099,0.0285217329811321,0.0,0.8120674768939131,0.0659695268079545,0.3621095300444285,8185.953516370099,0.0745792344737836,0.6378904699555715,0.9254207655262164
8444,"Machines to extrude, cut manmade textile fibres",1201996.0,6474410.0,3.4486490263739302,0.0892828889525902,0.6740637277738606,0.0641774478989503,0.4530465711939738,1228710016.0,0.0005283193774133,0.0014948671206739,2.35095840110202e-05,0.0,0.8745589591675826,0.0015247916251595,0.0148647478520203,0.0,0.6663257072158442,0.0530395127840521,0.3282787431154078,12954.68479824025,0.1197855361930496,0.6717212568845923,0.8802144638069505
8445,Machines for preparing textile fibers,14284627.0,67773587.0,3.428688590182449,0.1014775557047109,1.0176808367420287,0.2689649288276048,1.6724396347500878,3484191916.0,0.0055304034327309,0.004259076357021,0.0002793899801019,0.0,0.8725422119128498,0.0063903362374848,0.0548738144133112,0.0,0.8666989627908821,0.0835814574593813,0.3354850101798026,15075.696182253314,0.1398921588790925,0.6645149898201974,0.8601078411209075
8446,Looms,2418858.0,41801796.0,2.4895008723516048,0.1067854291542213,0.7420649182902467,0.0754171741897471,1.708118722210399,2104112405.0,0.0034110751153354,0.0025677178357225,4.730992895294852e-05,0.0,0.7776492830487686,0.0017918362191464,0.0560444680997302,0.0,0.705979204003773,0.0968752013995676,0.3106288352093378,8727.665676769904,0.079714521391948,0.6893711647906622,0.920285478608052
8447,Knitting machines,2844978.0,58424839.0,1.0551410154659977,0.0899354224318134,0.6131917849125595,0.0761152979675339,2.048584078474652,2452086461.0,0.0047675347353586,0.0029941779636465,5.564431936587496e-05,0.0,0.632725531086486,0.0018084229380725,0.0672153542624456,0.0,0.6308294846880348,0.0546738043826946,0.3559909636365037,23660.347091833253,0.221272361753692,0.6440090363634963,0.778727638246308
8448,Auxiliary machinery for use with knitting and textile machines,9512186.0,68191565.0,2.976117856103041,0.1085664529181418,1.0650411938491522,0.1252738945956508,1.176993684142874,4981367391.0,0.0055645109231018,0.0060939420131929,0.0001860468220322,0.0,0.8268157169218908,0.0029763817600121,0.0386179157963729,0.0,0.8943161817566287,0.1013358340981729,0.3336769231336924,6665.055692035093,0.0601615284075067,0.6663230768663075,0.9398384715924933
